브랜드,시즌,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
MLB,ACC,,,,,,,,," 349,945.802 "," 202,452.272 "," 152,130.982 "," 448,471.072 "
MLB,당년F,,,,,,,,," 709,135.356 "," 525,793.278 "," 320,998.574 "," 87,386.014 "
MLB,당년S,,,,,,,,, - , - ,"-10,528.070 ", - 
MLB,1년차,,,,,,,,," 20,000.000 "," 20,000.000 "," 10,000.000 ", - 
MLB,차기시즌,,,,,,,,, - , - , - ," 328,479.304 "
MLB,과시즌,,,,,,,,, - , - , - , - 
MLB KIDS,ACC,,,,,,,,,"6,008.143","5,124.014","5,539.479","10,727.960"
MLB KIDS,당년F,,,,,,,,,"29,452.153","17,648.270","3,742.669","3,299.570"
MLB KIDS,당년S,,,,,,,,,0.000,"-5,110.150","-4,289.092",0.000
MLB KIDS,1년차,,,,,,,,,0.000,0.000,0.000,0.000
MLB KIDS,차기시즌,,,,,,,,,0.000,0.000,0.000,"16,132.777"
MLB KIDS,과시즌,,,,,,,,,0.000,0.000,0.000,0.000
DISCOVERY,ACC,,,,,,,,, 441.679 ,-20.635 , 87.821 , 119.644 
DISCOVERY,당년F,,,,,,,,," 12,510.966 "," 3,876.625 "," 7,183.355 "," 10,134.568 "
DISCOVERY,당년S,,,,,,,,,,,,
DISCOVERY,1년차,,,,,,,,," 1,020.000 ", 620.000 , 620.000 , 20.000 
DISCOVERY,차기시즌,,,,,,,,,,,, 145.363 
DISCOVERY,과시즌,,,,,,,,,,,,
SUPRA,ACC,,,,,,,,,,,"10,446.050","15,669.074"
SUPRA,당년F,,,,,,,,,,,,
SUPRA,당년S,,,,,,,,,,,,
SUPRA,1년차,,,,,,,,,,,204.3664,306.5496
SUPRA,차기시즌,,,,,,,,,,,,
SUPRA,과시즌,,,,,,,,,,,34949.584,52424.376
