level1,level2,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
리테일매출,대리상,,,,,,,,,,,,
리테일매출,직영,,,,,,,,,,,,
Tag매출,대리상(의류),,,,,,,,,,,,
Tag매출,대리상(ACC),,,,,,,,,,,,
Tag매출,직영,,,,,,,,,,,,
실판매출,대리상(의류),,,,,,,,,,,,
실판매출,대리상(ACC),,,,,,,,,,,,
실판매출,직영,,,,,,,,,,,,
매출원가,,,,,,,,,,,,,
평가감,,,,,,,,,,,,,
급여(매장),,,,,,,,,,,,,
복리후생비(매장),,,,,,,,,,,,,
플랫폼수수료,,,,,,,,,,,,,
TP수수료,,,,,,,,,,,,,
직접광고비,,,,,,,,,,,,,
대리상지원금,,,,,,,,,,,,,
물류비,,,,,,,,,,,,,
매장임차료,,,,,,,,,,,,,
감가상각비,,,,,,,,,,,,,
기타(직접비),,,,,,,,,,,,,
급여(사무실),,,,,,,,,,,,,
복리후생비(사무실),,,,,,,,,,,,,
광고비,,,,,,,,,,,,,
수주회,,,,,,,,,,,,,
지급수수료,,,,,,,,,,,,,
임차료,,,,,,,,,,,,,
감가상각비(영업비),,,,,,,,,,,,,
세금과공과,,,,,,,,,,,,,
기타(영업비),,,,,,,,,,,,,
