level1,level2,MLB,MLB KIDS,DISCOVERY
리테일매출,대리상,769650.8358,31112.69808,5434.507
리테일매출,직영,132767.785,14515.56416,3485.76185
Tag매출,대리상(의류),"551,097.70","22,069.53","2,643.26"
Tag매출,대리상(ACC),"702,605.97","12,468.00",-247.574
Tag매출,직영,"163,955.84","19,237.65","4,070.01"
실판매출,대리상(의류),"204,832.77","8,202.83","1,195.71"
실판매출,대리상(ACC),"292,729.99","4,634.13",-98.592
실판매출,직영,"117,493.62","12,845.63","3,084.75"
매출원가,,"431,653.29","17,631.83","2,229.77"
평가감,,"16,783.70","1,238.79","5,789.30"
급여(매장),,"3,307.80",789.429,185.102
복리후생비(매장),,"1,864.56",446.662,91.55
플랫폼수수료,,"6,180.98",496.058,148.703
TP수수료,,"6,136.39",429.834,402.787
직접광고비,,"9,090.19",911.737,507.997
대리상지원금,,"18,919.02","1,414.68",229.553
물류비,,"9,784.61",662.559,411.642
매장임차료,,"10,853.98","2,202.95",636.271
감가상각비,,627.423,185.261,82.617
기타(직접비),,941.99,196.553,106.653
급여(사무실),,"6,907.79",677.1,"1,211.33"
복리후생비(사무실),,"2,316.46",208.12,350.571
광고비,,"15,572.94",411.17,"2,604.84"
수주회,,"7,058.87",452,0
지급수수료,,"1,102.65",148,66.878
임차료,,"1,910.92", - ,0
감가상각비(영업비),,379.015,3.14,6.032
세금과공과,,390.769, - ,0
기타(영업비),,269.814,9.12,47.355
,,,,
,,"63,003.23","-2,832.40","-10,927.07"
