level1,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
급여(매장),0.06170,0.02646,0.02869,0.05767,0.06761,0.03329,0.02470,0.02475,0.01150,0.02568,0.01246
복리후생비(매장),0.02258,0.01459,0.01548,0.02566,0.03209,0.02425,0.01490,0.01308,0.00602,0.01530,0.00781
플랫폼수수료,0.02290,0.01524,0.01225,0.02304,0.03688,0.00914,0.02070,0.02460,0.01898,0.08119,0.03134
TP수수료,0.08295,0.05118,0.04494,0.08365,0.10176,0.04156,0.05359,0.05206,0.02665,0.13400,0.03060
직접광고비,0.06951,0.06330,0.03560,0.12381,0.10310,0.02026,0.10406,0.06188,0.10296,0.08116,0.04981
대리상지원금,0.07105,0.12800,0.15966,0.06315,0.06509,0.15947,0.09821,0.13433,0.11911,0.08656,0.13695
물류비,0.04392,0.03741,0.04443,0.05718,0.05315,0.05060,0.04663,0.04795,0.05633,0.05601,0.05548
매장임차료,0.16223,0.10483,0.10056,0.18736,0.25938,0.15116,0.10970,0.09628,0.03656,0.11382,0.04516
감가상각비,0.02086,0.01348,0.01293,0.02371,0.03239,0.01888,0.01370,0.01202,0.00457,0.01407,0.00685
기타(직접비),0.00752,0.01192,0.02781,0.01640,0.07371,0.01766,0.00629,0.01929,0.00767,0.02965,0.01113
