level1,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
급여(매장),,,,0.066061658,0.06324375,0.043028851,0.036491687,0.03729034,0.037513155,0.038990567,0.030714616
복리후생비(매장),,,,0.032868399,0.043271431,0.048967416,0.027285506,0.026685965,0.021783489,0.031643495,0.020136833
플랫폼수수료,,,,0.028185965,0.04588045,0.01673471,0.016850945,0.023069058,0.027314301,0.045304397,0.019540024
TP수수료,,,,0.020030208,0.041626334,0.01221946,0.010887115,0.014419052,0.020112483,0.044004695,0.015378974
직접광고비,,,,0.064102091,0.049749034,0.019653904,0.024348856,0.027245049,0.064826011,0.06199544,0.029205557
대리상지원금,,,,246398.6646,410614.2823,743685.2489,1024200.739,1160329.844,1076645.54,608204.2902,1233580.542
물류비,,,,0.038005115,0.038759337,0.031193064,0.027002381,0.02916627,0.03752219,0.034261351,0.033147573
매장임차료,,,,0.145634682,0.17804647,0.147257734,0.107436276,0.103036409,0.074110118,0.122573165,0.113955241
감가상각비,,,,147385.3816,140077.4646,125535.1122,150997.7678,146834.2445,145477.0822,145354.782,144007.2675
기타(직접비),,,,251175.406,211469.6502,141641.0814,264248.6185,162384.3225,315805.2635,179218.8893,290116.0495
,,,,,,,,,,,
,,,,,,,,,,,
,,,웬디 직접비,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,Store Payroll,,0.066061658,0.06324375,0.043028851,0.036491687,0.03729034,0.037513155,0.038990567,0.030714616
,,Store Staff Benefits,,0.032868399,0.043271431,0.048967416,0.027285506,0.026685965,0.021783489,0.031643495,0.020136833
,,Platform Commission,,0.028185965,0.04588045,0.01673471,0.016850945,0.023069058,0.027314301,0.045304397,0.019540024
,,T P commission,,0.020030208,0.041626334,0.01221946,0.010887115,0.014419052,0.020112483,0.044004695,0.015378974
,,Service Fee,,0.010834567,0.012136776,0.004691844,0.007986271,0.003831034,0.006840529,0.005641255,0.008553115
,,Advertisement-Direct,,0.064102091,0.049749034,0.019653904,0.024348856,0.027245049,0.064826011,0.06199544,0.029205557
,,Franchiser Rebate,,0.019859217,0.043569295,0.067146364,0.063116101,0.069933851,0.042904576,0.044644305,0.05762233
,,Logistic Expense,,0.038005115,0.038759337,0.031193064,0.027002381,0.02916627,0.03752219,0.034261351,0.033147573
,,Package,,0.003496193,0.002516666,0.001492875,0.001561955,0.001519316,0.002787904,0.002189221,0.001587588
,,Store Rental,,0.145634682,0.17804647,0.147257734,0.107436276,0.103036409,0.074110118,0.122573165,0.113955241
,,Store D&A,,0.011878954,0.014863283,0.0113344,0.009305198,0.008849798,0.005797296,0.010669545,0.006726788
,,VMD,,0.004202375,0.00553245,0.004707652,0.005441802,0.003170875,0.002119558,0.003827257,0.002458044
,,Others,,0.001711078,0.002252644,0.001896216,0.001294224,0.001265786,0.000836923,0.001497556,0.000952993
