level1,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
급여(매장),,,,0.012354162,0.016259916,0.007982619,0.005380407,0.005851431,0.008566065,0.008706116,0.009340119
복리후생비(매장),,,,0.005938033,0.009210889,0.007122304,0.004165733,0.003858612,0.005194393,0.006549546,0.006620798
플랫폼수수료,,,,0.019621221,0.022443266,0.010298484,0.007994004,0.008730272,0.015896475,0.028478594,0.020653747
TP수수료,,,,0.023168782,0.02626764,0.011793421,0.007560264,0.010144147,0.015966102,0.035343426,0.021675983
직접광고비,,,,0.044271323,0.036199975,0.013589916,0.011889572,0.015710298,0.053908033,0.049120996,0.030630083
대리상지원금,,,,5651914.841,3790782.448,7890303.797,12755418.96,13775526.9,9616743.745,6574630.455,6359615.796
물류비,,,,0.023970204,0.021807467,0.015651725,0.014101968,0.014503229,0.024878681,0.024418184,0.020751529
매장임차료,,,,0.035979816,0.049937869,0.029560631,0.019777704,0.019140648,0.024968314,0.036697088,0.041271837
감가상각비,,,,605065.7158,767845.1176,750678.2565,737059.3338,736931.3753,795848.1219,792903.3119,791601.1286
기타(직접비),,,,1527062.067,1933985.225,901636.1101,1276736.145,1040806.69,2298258.788,1226801.825,1307932.808
,,,,,,,,,,,
,,,,,,,,,,,
,,,웬디 원본 직접비율,,,,,,,,
,,,,,,,,,,,
,,Store Payroll,,0.012354162,0.016259916,0.007982619,0.005380407,0.005851431,0.008566065,0.008706116,0.009340119
,,Store Staff Benefits,,0.005938033,0.009210889,0.007122304,0.004165733,0.003858612,0.005194393,0.006549546,0.006620798
,,Platform Commission,,0.019621221,0.022443266,0.010298484,0.007994004,0.008730272,0.015896475,0.028478594,0.020653747
,,T P commission,,0.023168782,0.02626764,0.011793421,0.007560264,0.010144147,0.015966102,0.035343426,0.021675983
,,Service Fee,,0.002800703,0.008765959,0.002037321,0.00106885,0.001083725,0.002390299,0.001831053,0.002260732
,,Advertisement-Direct,,0.044271323,0.036199975,0.013589916,0.011889572,0.015710298,0.053908033,0.049120996,0.030630083
,,Franchiser Rebate,,0.020726845,0.021640105,0.027512636,0.029234103,0.029244413,0.021311383,0.021959844,0.021472762
,,Logistic Expense,,0.023970204,0.021807467,0.015651725,0.014101968,0.014503229,0.024878681,0.024418184,0.020751529
,,Package,,0.002631803,0.001693772,0.000907785,0.001447419,0.000867825,0.002127277,0.002112317,0.001730983
,,Store Rental,,0.035979816,0.049937869,0.029560631,0.019777704,0.019140648,0.024968314,0.036697088,0.041271837
,,Store D&A,,0.002218912,0.00438333,0.002617534,0.001689264,0.00156445,0.001763656,0.002648367,0.002672781
,,VMD,,0,0.000326206,4.98E-05,0.000309027,0.000164589,0.000473183,0,0.000268487
,,Others,,0.000167575,0.000254434,0.000148989,0.000100851,9.34157E-05,0.000102345,0.000154256,0.000155934
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,대리상지원금,5234.028712,2969.442225,1334.050109,4439.867958,6586.66176,6278.114924,4945.816648,2969.258411,5334.385239
,,대리상지원금,4786.041936,2788.230812,1367.175913,4112.523451,5961.174227,5781.159586,4552.074639,2808.017121,4795.394535
,,감가상각비,661.6739546,640.2657158,717.8451176,750.6782565,737.0593338,736.9313753,795.8481219,792.9033119,791.6011286
,,기타(직접비),1374.672994,1542.924315,1885.699808,906.6700033,1271.512068,1026.680784,2295.991332,1197.786612,1381.534761
