계정과목,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,,8월계획,2026년연간계획(N-1), 자금보고시점 
현금 및 현금성자산,"186,366,258","97,643,054","160,280,200","121,288,743","68,724,669","109,971,884","93,865,069","127,860,315","114,573,864","188,375,434","100,093,903","105,015,776",,"127,860,315","105,015,776",
직영AR,"84,280,019","81,470,967","43,707,438","53,064,032","70,200,117","30,374,335","38,167,026","39,420,651","41,670,848","76,890,210","51,589,916","50,089,461",,"39,420,651","50,089,461","42,329,000"
대리상AR,"801,026,483","786,192,212","757,128,784","667,013,262","348,484,118","110,306,655","230,267,739","372,702,316","651,931,917","618,998,516","444,403,073","384,784,281",,"372,702,316","384,784,281","330,966,000"
선급금(본사),"150,000,000",,,,"350,000,000","350,000,000","350,000,000","150,000,000",,,"350,000,000","350,000,000",,150000000,"350,000,000",
선급금(기타),"53,239,596","63,684,516","60,953,292","52,635,367","49,388,771","39,669,727","41,080,430","38,878,326","37,966,426","49,854,176","34,352,890","29,004,039",,"38,878,326","29,004,039",
기타 유동자산,"63,096,099","63,859,895","62,430,886","37,664,586","37,342,963","34,310,002","35,580,456","36,745,254","36,875,014","36,865,859","36,841,539","36,817,019",,"36,745,254","36,817,019",
사용권자산,"155,377,388","155,377,388","155,377,388","155,377,388","155,377,388","119,417,108","119,417,108","119,417,108","119,417,108","119,417,108","119,417,108","119,417,108",,"119,417,108","119,417,108",
이연법인세자산,"108,410,788","108,410,788","108,410,788","108,410,788","112,340,023","103,010,741","112,340,023","112,340,023","112,340,023","112,340,023","112,340,023","112,340,023",,"112,340,023","112,340,023",
"유,무형자산","37,503,703","36,173,942","35,846,809","33,715,996","32,368,266","30,917,772","32,356,760","32,101,179","31,888,014","31,674,848","31,461,682","31,248,516",,"32,101,179","31,248,516",
MLB,"1,232,241,536","1,146,171,325","879,967,533","628,502,751","522,212,534","573,680,816","740,054,087","823,709,908","612,068,150","475,739,677","684,198,098","760,339,172",,"823,709,908","760,339,172",
KIDS,"61,922,687","74,182,408","65,426,152","33,141,740","29,372,708","39,345,854","57,377,625","44,983,180","14,273,875","20,217,804","52,530,314","44,154,657",,44983180,44154657,
DISCOVERY,"176,668,786","189,384,424","201,156,756","102,696,379","104,622,624","107,797,519","126,620,354","135,814,500","100,049,574","99,570,984","129,117,846","104,062,556",,135814500,104062556,
,,,,,,,,,,,,,,,,
본사 AP,"589,189,825","203,944,556","100,183,696","35,036,002","33,711,761","85,617,316","320,033,237","373,047,154","125,058,109","208,388,596","469,390,029","291,795,000",,"373,047,154","291,795,000","361,387,000"
제품 AP,"33,077,306","59,910,028","25,332,181","12,756,125","4,405,557","9,884,486","9,835,460","45,775,069","25,795,745","20,217,999","17,246,174","41,857,265",,"45,775,069","41,857,265","35,747,000"
미착품,"42,988,440","23,919,240","15,371,062","9,967,370","12,271,468","6,682,994","51,359,079","21,325,485","21,325,485","21,325,485","21,325,485","21,325,485",,21325485,21325485,
차입금,"922,085,078","975,685,078","930,000,000","560,000,000","400,000,000","140,000,000","140,000,000","100,000,000","190,000,000",0,"70,000,000","150,000,000",,"100,000,000","150,000,000",
대리상선수금,"397,988,252","398,112,636","398,153,581","398,156,385","398,166,691","401,190,460","397,501,984","401,168,343","401,168,343","401,168,343","401,168,343","401,168,343",,"401,168,343","401,168,343",
대리상지원금,"161,834,587","170,459,239","160,882,850","115,362,116","112,851,995","120,541,606","120,541,606","130,141,685","139,741,764","149,341,842","158,941,921","168,542,000",,"130,141,685","168,542,000",
기타 유동부채,"136,289,002","128,909,380","104,488,475","112,193,362","143,882,259","117,362,125","132,154,217","154,863,386","159,837,204","185,501,952","132,418,695","169,087,802",,"154,863,386","169,087,802",
"리스부채(장,단기)","153,383,989","153,383,989","153,383,989","153,383,989","153,383,989","123,861,870","123,861,870","123,861,870","123,861,870","123,861,870","123,861,870","123,861,870",,"123,861,870","123,861,870",
장기보증금,"37,586,222","37,586,222","37,586,222","37,586,222","37,586,222","37,526,222","37,526,222","37,526,222","37,526,222","37,526,222","37,526,222","37,526,222",,"37,526,222","37,526,222",
자본금,"35,630,903","35,630,903","35,630,903","35,630,903","35,630,903","35,630,903","35,630,903","35,630,903","35,630,903","35,630,903","35,630,903","35,630,903",,"35,630,903","35,630,903",
이익잉여금,"600,079,739","615,009,648","569,673,066","523,438,557","548,543,335","570,504,432","608,682,101","610,632,644","613,109,168","646,981,429","678,836,750","686,477,718",,"610,632,644","686,477,718",
,,,,,,,,,,,,,,,,
,,,,,,,0,-1,0,-2,0,0,,0,0,
,,,,,,,,"130,141,685","139,741,764","149,341,842","158,941,921","168,542,000",,,,
,,,,,,,,"154,863,386","159,837,204","185,501,952","132,418,695","169,087,802",,,,
,,,,,,,,,,,,,,,,
,,,,,2번,Total,,"1,139,679,918","1,318,801,573","995,602,734","829,648,632","1,093,006,388",,,,
,,,,,3번,평가감예상,,"-135,172,330","-592,409,974","-400,074,269","36,197,626","-184,450,003",,, 최근 분기 평가감비율 ,
,,,,,,MLB,,"-113,670,945","-498,177,409","-336,435,866","30,439,797","-155,110,192",,MLB,"176,067,774",84%
,,,,,,KIDS,,"-9,338,395","-40,926,708","-27,639,175","2,500,717","-12,742,749",,MLB KIDS,"14,464,474",7%
,,,,,,DX,,"-12,162,990","-53,305,857","-35,999,228","3,257,112","-16,597,063",,DISCOVERY,"18,839,561",9%
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,chris 재고,,"1,004,507,588","726,391,598","595,528,465","865,846,258","908,556,384",,,,
,,,,,,chris 재고,,"1,295,199,569","1,025,377,761","880,484,965","1,131,705,603","1,157,763,913",,,,
,,,,,,chris 재고,,"-290,691,981","-298,986,162","-284,956,500","-265,859,346","-249,207,529",,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,1번,stock파일 참고,,,,,,,,,,
,,,,,,MLB,,"937,380,852","1,110,245,559","812,175,544","653,758,301","915,449,364",,,,
,,,,,, APP ,,"534,347,859","707,787,304","489,977,254","361,538,842","530,847,541",,,,
,,,,,, ACC ,,"403,032,993","402,458,256","322,198,290","292,219,459","384,601,823",,,,
,,,,,,,,,,,,,,,,
,,,,,,KIDS,,"54,321,575","55,200,583","47,856,979","50,029,597","56,897,406",,,,
,,,,,, APP ,,"41,064,511","44,282,940","38,928,330","39,509,026","40,108,243",,,,
,,,,,, ACC ,,"13,257,064","10,917,642","8,928,649","10,520,570","16,789,162",,,,
,,,,,,,,,,,,,,,,
,,,,,,DX,,"147,977,491","153,355,430","135,570,212","125,860,734","120,659,618",,,,
,,,,,, APP ,,"141,259,300","147,235,989","130,444,672","121,435,818","117,241,066",,,,
,,,,,, ACC ,,"6,718,191","6,119,441","5,125,540","4,424,916","3,418,553",,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,"1,119,672,018","1,261,747,938","1,074,164,657","959,650,550","1,037,765,671",,,,
,,,,,,,,"154,028,525","-155,985,097","-231,047,467","-262,438,648","-220,155,944",,,,
,,,,,,MLB,,"129,527,751","-131,173,098","-194,295,562","-220,693,458","-185,136,514",,,,
,,,,,,KIDS,,"10,641,077","-10,776,247","-15,961,939","-18,130,602","-15,209,497",,,,
,,,,,,DX,,"13,859,697","-14,035,752","-20,789,966","-23,614,588","-19,809,932",,,,
