계정과목,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
MLB,"1,417,659,509","874,744,851","948,230,321","744,966,625","508,552,723","421,829,834","689,114,118","1,105,811,887","1,009,567,734","955,318,657","601,723,175","964,476,430"
KIDS,"53,775,184","34,952,494","23,813,517","27,346,632","26,276,446","21,226,601","27,440,745","42,173,528","35,469,166","48,702,005","28,729,333","45,047,806"
DISCOVERY,"6,465,698","4,615,484","-15,057,714","9,169,251","4,349,837","5,502,221","14,533,901","16,123,299","35,016,453","63,758,483","26,465,499","49,255,043"
DUVETICA,"17,880,780","17,913,420","396,000","300,000",0,0,0,0,0,0,0,0
SUPRA,"2,630,168","7,714,705","51,134,500","1,300,000","35,300,000","1,300,000",0,"34,000,000",0,"34,000,000",0,"23,640,000"
실판매출,"648,125,437","401,843,624","415,945,588","345,500,224","264,795,102","201,986,432","318,075,578","494,493,180","454,996,080","489,794,936","303,959,302","464,939,278"
매출원가,"458,765,420","289,010,767","307,144,900","221,461,023","175,531,083","137,780,443","219,458,339","361,457,710","327,597,160","350,178,017","202,376,123","334,513,272"
평가감,"16,561,250","15,438,916","9,759,090","6,259,785","-6,006,277","10,083,014","-6,424,083","-21,667,196","-13,245,446","-29,150,064","-13,531,135","-19,422,354"
급여(매장),"4,311,613","5,684,024","3,197,696","3,854,103","4,411,593","3,537,471","2,945,986","3,136,414","3,592,773","5,122,097","3,347,507","3,780,190"
복리후생비(매장),"2,408,719","2,053,412","2,133,483","2,372,961","2,083,419","2,090,910","2,725,548","2,377,610","2,377,610","3,035,178","2,520,908","2,575,673"
플랫폼수수료,"6,934,437","4,103,946","5,276,497","4,803,851","5,685,773","4,451,113","3,196,252","3,940,486","4,737,670","8,351,373","9,827,643","7,272,390"
TP수수료,"7,293,513","5,914,097","5,738,303","5,720,621","6,722,014","5,296,749","3,778,522","3,942,047","5,530,777","8,401,216","12,310,246","7,468,619"
직접광고비,"10,608,368","709,519","9,359,753","5,150,180","14,689,746","8,610,204","4,198,252","6,392,225","8,609,737","28,516,271","15,345,595","10,880,643"
대리상지원금,"20,563,253","11,599,220","11,293,647","9,473,312","5,246,186","5,023,642","10,142,346","15,840,421","15,389,593","13,497,141","7,883,894","14,778,002"
물류비,"11,103,083","7,429,930","8,214,103","6,850,992","6,894,369","4,699,405","5,385,884","7,371,246","7,622,651","13,734,783","8,209,537","9,453,957"
매장임차료,"14,150,212","14,899,525","12,331,138","12,240,418","12,233,275","11,006,509","10,984,096","11,248,286","11,601,214","14,001,683","13,564,637","15,671,160"
감가상각비,"928,762","926,884","890,878","905,834","894,555","998,123","1,019,566","1,037,896","1,033,605","1,091,164","1,088,097","1,127,948"
기타(직접비),"1,248,068","1,358,946","1,485,153","1,881,170","1,847,917","2,400,449","1,164,598","1,631,134","1,397,482","2,762,246","1,644,589","1,962,149"
급여(사무실),"8,799,608","14,844,434","3,914,710","9,274,985","9,277,687","9,148,727","9,146,809","9,149,115","8,852,154","8,813,235","8,807,299","8,873,640"
복리후생비(사무실),"2,875,887","4,380,741","2,754,083","2,906,957","3,107,106","2,624,009","3,206,384","2,877,873","2,966,503","3,353,758","2,733,264","3,295,764"
광고비,"18,588,946","18,449,887","16,269,384","17,834,457","17,782,504","14,084,237","13,986,830","22,120,285","19,940,303","20,140,544","20,396,688","13,020,280"
수주회,"7,510,868",0,"300,000","260,000",0,0,"300,000","6,000,000","60,000","900,000",0,0
지급수수료,"1,317,528","2,108,057","2,189,700","2,034,851","2,656,425","2,395,932","1,752,401","1,752,394","2,543,590","1,192,894","1,909,206","2,147,116"
임차료,"1,910,923","1,913,434","1,912,464","1,912,464","1,912,464","1,912,464","1,912,464","1,912,464","1,912,464","1,912,464","1,912,464","1,912,464"
감가상각비(영업비),"388,199","386,746","377,744","380,684","375,417","373,978","371,800","366,849","357,622","359,868","359,061","356,966"
세금과공과,"390,769","203,668","213,219","149,325","2,182,539","1,729,641","2,394,653","590,877","1,095,927","1,128,206","3,206,064","4,843,767"
기타(영업비),"326,307","256,358","437,771","415,672","504,582","460,071","440,617","391,338","622,421","432,412","426,266","385,899"
