계정과목,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
Tag매출_대리상_ACC,"-247,574","286,099","-1,550,007","12,068,838","134,554",91409,420872,203327," 441,679 ","-20,635 "," 87,821 "," 119,644 "
Tag매출_대리상_APP,"2,643,260","2,816,250","-321,210","-12,192,740","-7,930,040",-3595930,3696540,11462120," 13,530,966 "," 4,496,625 "," 7,803,356 "," 10,299,931 "
Tag매출_직영_ACC,"212,802","132,915","153,116","135,665","177,414","128,103",69141,167402," 202,399 "," 974,557 "," 340,908 "," 634,361 "
Tag매출_직영_APP,"3,857,210","1,380,220","1,550,700","1,033,590","2,636,230","1,282,740",741680,2151570," 2,501,700 "," 14,126,992 "," 5,650,899 "," 11,276,781 "
,,,,,,,,,,,,
Tag매출,"6,465,698","4,615,484","-167,401","1,045,353","-4,981,842","-2,093,678","4,928,233","13,984,419","16,676,745","19,577,539","13,882,983","22,330,717"
Tag매출_직영(ON),"2,588,471","415,326","1,096,476","728,648","2,394,021","1,015,190","534,431","1,956,075","1,853,334","13,980,276","4,930,630","9,150,659"
Tag매출_직영(OFF),"1,481,541","1,097,809","607,340","440,607","419,623","395,653","276,390","362,897","850,765","1,121,273","1,061,177","2,760,483"
Tag매출_대리상(ON),"125,250","31,750","-378,930","-588,720","11,270","9,510","12,950","141,570","255,669","599,496","376,368","110,668"
Tag매출_대리상(OFF),"2,270,436","3,070,599","-1,492,287","464,818","-7,806,756","-3,514,031","4,104,462","11,523,877","13,716,976","3,876,494","7,514,809","10,308,907"
실판매출,"4,181,867","2,269,310","504,304","885,502","-1,369,329","-1,109,426","2,224,043","6,710,975","7,537,779","13,244,907","7,898,496","12,598,639"
실판매출_직영(ON),"1,958,137","318,056","845,775","582,302","1,394,784","614,138","365,377","1,489,067","1,327,434","9,938,053","3,353,982","6,163,717"
실판매출_직영(OFF),"1,115,058","830,205","479,262","348,519","330,314","267,770","220,557","293,098","646,018","1,524,380","1,402,010","2,285,534"
실판매출_대리상(ON),"49,878","12,644","-150,901","-234,446","4,488","3,787","5,157","56,377","101,815","238,737","149,881","44,071"
실판매출_대리상(OFF),"1,058,794","1,108,406","-669,831","189,128","-3,098,916","-1,995,120","1,632,952","4,872,432","5,462,513","1,543,737","2,992,623","4,105,317"
매출원가,"2,229,765","1,642,124","-160,481","-246,834","-1,817,334","-816,876","1,727,346","3,929,323","5,146,082","6,561,850","4,444,178","6,851,372"
평가감,"5,789,303","5,624,743","5,596,718","-416,574","-422,958","-730,145","4,773,716","4,896,760","4,493,810","-896,283","-527,649","-1,023,452"
평가감(설정),"5,834,400","5,661,359","5,686,785","-95,973","-27,266","-328,391","4,765,194","4,714,863","4,684,905",9.09E-10,0,1.48E-09
평가감(환입),"-45,097","-36,616","-90,067","-320,601","-395,692","-401,754","8,522","181,897","-191,095","-896,283","-527,649","-1,023,452"
급여(매장),"185,102","201,900","169,365","30,699","106,889","106,776","98,461","181,565","132,197","238,527","176,120","254,781"
복리후생비(매장),"91,550","83,272","87,050","85,553","55,349","75,400","58,219","139,903","72,581","124,402","103,316","158,081"
플랫폼수수료,"148,703","65,682","60,052","50,960","88,961","79,269","31,073","65,658","129,212","478,625","684,145","737,029"
TP수수료,"402,787","281,601","177,380","165,129","212,486","204,705","134,718","184,052","387,229","631,509","1,099,170","689,581"
직접광고비,"507,997","224,632","268,688","238,700","335,213","222,688","93,868","549,779","603,981","2,662,586","692,495","1,181,567"
대리상지원금,"229,553","243,589","26,408","41,038",0,0,"323,325","987,659","3,482,291","1,017,676","1,922,805","2,611,908"
물류비,"411,642","284,003","378,231","365,652","282,231","231,300","237,889","320,139","350,607","764,049","444,526","705,922"
매장임차료,"636,271","634,945","641,644","540,606","534,403","532,432","532,456","532,288","533,213","829,368","835,374","938,353"
감가상각비,"82,617","82,617","82,617","63,126","63,126","63,126","63,126","63,126","63,126","99,038","99,038","141,538"
기타(직접비),"106,653","7,476","70,465","275,960","72,668","93,511","80,922","44,131","195,426","176,180","224,708","361,058"
급여(사무실),"1,211,325","1,825,802","469,675","1,312,779","1,281,213","1,137,050","1,103,903","1,160,808","1,195,270","1,168,754","1,167,800","1,212,873"
복리후생비(사무실),"350,571","375,391","370,733","369,704","318,706","297,634","331,282","317,757","306,449","313,849","297,249","331,014"
광고비,"2,604,835","2,257,633","2,995,034","4,337,012","3,670,155","5,049,790","2,366,591","4,093,897","3,084,999","4,073,264","3,835,569","3,634,595"
수주회,0,0,"300,000",0,0,0,513584.09,0,0,0,0,550000
지급수수료,"66,878","8,200","89,250","146,950","235,200","42,760","16,140","303,000","130,500","80,000","225,000","264,213"
임차료,0,0,0,0,0,0,0,0,0,0,0,0
감가상각비(영업비),"6,031.88","6,043.08",5900.74,6235.79,5867.46,5867.41,6344.58,6181.99,6341.575222,6341.575222,6341.575222,6341.575222
세금과공과,0,0,0,0,0,0,0,0,0,0,0,0
기타(영업비),"47,355","87,669","20,582","49,237","37,205","84,844","30,462","73,015","223,103","66,170","55,820","54,825"
