계정과목,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
Tag매출,"17,880,780","17,913,420","19,147,810","291,460",2197510,11637510,0,0,0,0,0,0
Tag매출_대리상_ACC,,,,,,0,,,,,,
Tag매출_대리상_APP,,,,,,0,,,,,,
Tag매출_직영_ACC,"1,772,850","2,546,350","2,979,640","20,970",414850,2161970,,,,,,
Tag매출_직영_APP,16107930,15367070,16168170,270490,1782660,9475540,,,,,,
리테일매출_대리상,,,,,,,,,,,,
리테일매출_직영,,,,,,,,,,,,
실판매출,"2,962,755","1,875,814","2,260,776","243,539",194096.75,1029877.3,0,0,0,0,0,0
매출원가,"6,400,527","6,429,126","6,502,668","203,514",753865.87,3964369.87,0,0,0,0,0,0
평가감,"-6,400,527","-6,429,090","-6,505,996","-73,201",-753865.87,-4087985.06,0,0,0,0,0,0
급여(매장),"29,284","26,584","26,096","25,788",13241.22,0,0,0,0,0,0,0
복리후생비(매장),"5,951","5,517","5,551","5,584",286.7,0,0,0,0,0,0,0
플랫폼수수료,"108,698","53,429",13266.44,75.29,1557.72,6765.53,0,0,0,0,0,0
TP수수료,"324,501","294,946",190656.55,-398.92,63409.4,191860.42,0,0,0,0,0,0
직접광고비,"98,444","25,787",1774.14,-11.7,785.96,1415.56,0,0,0,0,0,0
대리상지원금,0,0,0,0,0,0,0,0,0,0,0,0
물류비,"99,087","67,538","58,426","64,375",130.06,-3758.39,0,0,0,0,0,0
매장임차료,"457,016","456,892","469,808","457,067",18926.05,1857.7,0,0,0,0,0,0
감가상각비,"33,461","33,461","33,461","33,461",0,0,0,0,0,0,0,0
기타(직접비),"7,432","14,097","27,326","91,007",5673.67,7845.5,0,0,0,0,0,0
급여(사무실),,0,0,0,0,0,0,0,0,0,0,0
복리후생비(사무실),,0,0,0,0,0,0,0,0,0,0,0
광고비,,0,0,0,0,0,0,0,0,0,0,0
수주회,,0,0,0,0,0,0,0,0,0,0,0
지급수수료,,0,0,0,0,0,0,0,0,0,0,0
임차료,,0,0,0,0,0,0,0,0,0,0,0
감가상각비(영업비),,0,0,0,0,0,0,0,0,0,0,0
세금과공과,,0,0,0,0,0,0,0,0,0,0,0
기타(영업비),,0,0,0,0,0,0,0,0,0,0,0
