계정과목,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,,,,,,,,
Tag매출,"53,775,184","34,952,494","26,800,013","33,029,121","21,903,537","16,019,244","25,012,935","38,319,960","38,783,884","46,361,444","26,882,578","42,394,973",,,,,,,,
Tag매출_대리상_ACC,"12,468,002","6,812,637","5,596,617","3,454,488","3,186,178",6620432,"4,726,541","13,353,104","4,148,272","4,674,012","7,379,457","12,021,307",,,,,,,,
Tag매출_대리상_APP,"22,069,530","13,466,303","10,113,496","17,044,809","3,505,143",1702479,"12,354,889","13,067,281","23,228,029","17,162,913","6,685,327","15,158,654",,,,,,,,
Tag매출_직영_ACC,"4,950,600","4,083,464","3,856,490","3,282,580","4,216,076",2626804,"2,738,420","4,254,288","3,802,968","8,111,385","3,999,240","4,762,773",,,,,,,,
Tag매출_직영_APP,"14,287,052","10,590,090","7,233,410","9,247,244","10,996,140",5069529,"5,193,085","7,645,287","7,604,616","16,413,134","8,818,554","10,452,238",,,,,,,,
,,,,,,,,,,,,,,,리테일매출_대리상,31112698.08,"33,384,080",17328591.63,"19,656,140","20,562,413"
,,,,,,,,,,,,,,,리테일매출_직영,14515564.16,11085141.8,7786240.174,"9,179,280","11,334,387"
실판매출,"25,682,590","17,348,986","12,916,149","15,726,373","12,495,423","7,898,781","11,211,349","17,485,515","17,311,156","23,324,533","13,337,656","19,967,119",,,,,,,,
매출원가,"17,631,826","11,034,171","7,897,771","10,133,505","6,512,981","4,748,008","7,971,396","11,693,486","12,445,586","15,200,676","8,523,498","13,339,186",,,,,,,,
평가감,"1,238,791","866,565","996,059","-1,087,140","-1,043,819","-4,775,338","720,387","300,924","363,789","-1,804,150","-949,566","-1,212,039",,,,,,,,
급여(매장),"789,429","1,126,646","412,161","536,400","754,537","525,385","495,088","596,508","592,108","905,334","512,633","597,276",,,,,,,,
복리후생비(매장),"446,662","401,415","381,155","436,738","373,944","414,706","549,115","448,317","418,021","519,726","406,342","406,342",,,,,,,,
플랫폼수수료,"496,058","365,585","394,910","415,053","493,454","336,613","217,278","275,918","382,758","685,424","617,197","418,313",,,,,,,,
TP수수료,"429,834","370,169","257,223","339,163","398,749","308,621","143,407","179,435","239,238","504,702","599,491","329,234",,,,,,,,
직접광고비,"911,737","430,805","638,121","714,099","1,028,483","413,744","217,839","395,041","450,890","1,625,566","844,148","621,494",,,,,,,,
대리상지원금,"1,414,679","921,474","1,160,777","852,887","236,582","362,489","695,714","1,034,678","1,137,080","853,201","545,912","1,163,009",,,,,,,,
물류비,"662,559","522,643","666,088","616,987","490,286","434,784","355,689","461,898","495,603","899,077","459,016","672,721",,,,,,,,
매장임차료,"2,202,946","2,112,323","1,687,883","1,833,634","1,768,874","1,600,967","1,611,458","1,705,496","1,622,083","1,765,720","1,566,362","1,706,411",,,,,,,,
감가상각비,"185,261","182,084","170,769","168,222","151,312","138,327","126,062","151,525","147,361","146,004","145,882","144,534",,,,,,,,
기타(직접비),"196,553","169,743","150,383","125,797","198,107","270,026","243,352","225,641","324,631","312,919","175,941","318,042",,,,,,,,
급여(사무실),"677,097","1,135,077","36,384","821,867","672,439","654,305","999,763","630,818","630,818","630,818","630,818","633,748",,,,,,,,
복리후생비(사무실),"208,125","206,696","204,875","210,114","212,264","210,331","206,385","199,391","202,271","199,391","199,391","199,391",,,,,,,,
광고비,"411,167","802,682","1,913,123","2,098,480","1,879,647","89,510","332,333","1,333,792","2,548,292","3,521,335","2,419,335","141,335",,,,,,,,
수주회,"452,000",0,0,"60,878",0,0,"495,740",0,"60,000",0,0,0,,,,,,,,
지급수수료,"148,000",0,"36,900",0,0,0,114000,0,0,0,0,0,,,,,,,,
임차료,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
감가상각비(영업비),"3,141.29","3,136.12","3,124.74","3,108.87","3,164.07","2,494.71","2,670.26","2,245.53","1,598.77","1,598.77","1,598.77","1,598.77",,,,,,,,
세금과공과,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
기타(영업비),"9,117","3,722","23,176","14,129","5,626","56,308","69,920","25,770","57,819","27,019","47,322","40,012",,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,
