계정과목,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,
Tag매출_대리상_ACC,"702,605,968","336,420,306","293,746,113","260,130,857","199,699,071","143,433,797","231,001,519",399518045," 349,945,802 "," 202,452,272 "," 152,130,982 "," 448,471,072 ",손익계산서 용도 (계획월)
Tag매출_대리상_APP,"551,097,697","429,806,895","527,532,365","535,751,655","158,047,666","89,244,556","310,217,106",533067944," 729,135,356 "," 545,793,278 "," 320,470,503 "," 415,865,318 ",손익계산서 용도 (계획월)
Tag매출_직영_ACC,"77,795,263","51,163,435","54,845,874","47,744,101","71,334,890","41,103,784","35,319,420",49939488," 53,998,696 "," 135,348,897 "," 71,809,046 "," 70,641,286 ",손익계산서 용도 (계획월)
Tag매출_직영_APP,"86,160,581","57,354,215","56,979,393","55,108,339","68,491,801","41,267,145","33,247,080",37710460," 50,335,927 "," 123,541,201 "," 81,571,012 "," 84,702,510 ",손익계산서 용도 (계획월)
,,,,,,,,0,0,0,0,0,
Tag매출,"1,417,659,509","874,744,851","933,103,745","898,734,952","497,573,428","315,049,282","609,785,125","1,020,235,937","1,183,415,781","1,007,135,648","625,981,544","1,019,680,186",
Tag매출_직영(ON),"100,610,499","40,864,534","78,883,726","56,095,487","92,452,508","52,332,335","37,410,739","51,448,992","64,079,711","196,579,832","91,530,340","83,095,064",
Tag매출_직영(OFF),"63,345,345","67,653,116","32,941,541","46,756,953","47,374,183","30,038,594","31,155,761","36,200,956","40,254,912","62,310,266","61,849,718","72,248,732",
Tag매출_대리상(ON),"113,871,520","100,224,772","136,819,151","117,166,300","76,990,968","54,277,315","76,558,681","150,729,295","149,103,840","128,433,698","89,865,126","143,591,522",
Tag매출_대리상(OFF),"1,139,832,145","666,002,429","684,459,327","678,716,212","280,755,769","178,401,038","464,659,944","781,856,694","929,977,318","619,811,853","382,736,360","720,744,868",
실판매출,"615,056,379","379,659,375","397,506,978","379,805,219","235,561,298","148,931,214","258,943,311","419,733,413","488,516,317","459,040,293","289,806,154","451,347,943",
실판매출_직영(ON),"72,765,375","31,709,997","55,532,376","40,177,613","61,004,040","35,310,751","26,168,949","36,464,589","44,893,805","128,929,204","64,185,841","60,075,751",
실판매출_직영(OFF),"44,123,425","47,819,478","23,324,659","31,179,875","31,286,071","20,482,782","20,892,485","24,301,941","27,063,772","43,044,059","42,858,989","50,170,566",
실판매출_대리상(ON),"45,818,334","40,503,373","53,725,043","46,618,682","32,520,071","21,862,124","30,929,920","57,295,853","57,720,181","49,548,613","35,278,578","58,104,143",
실판매출_대리상(OFF),"452,349,245","259,626,527","264,924,900","261,829,049","110,751,116","71,275,557","180,951,957","301,671,031","358,838,559","237,518,418","147,482,746","282,997,483",
매출원가,"431,653,287","267,437,486","280,785,695","276,851,747","145,117,219","89,734,740","183,053,874","301,518,401","358,286,388","315,124,996","189,962,403","308,674,019",
평가감,"16,783,698","17,847,228","29,343,124","-11,668,140","-11,881,123","-8,913,743","13,164,407","12,640,744","12,026,899","-12,496,425","-6,481,956","-10,573,758",
평가감(설정),"29,629,518","25,492,892","39,411,406","1,187,779","2,304,746","-1,042,259","18,970,689","19,544,973","21,217,366","1,235,745","2,548,433",0,
평가감(환입),"-12,845,820","-7,645,664","-10,068,282","-12,855,919","-14,185,869","-7,871,484","-5,806,282","-6,904,228","-9,190,468","-13,732,170","-9,030,389","-10,573,758",
급여(매장),"3,307,798","4,328,895","1,899,178","2,805,454","2,958,719","2,409,635","2,121,106","2,239,299","2,824,212","3,908,990","2,626,495","2,786,062",
복리후생비(매장),"1,864,556","1,563,208","1,591,669","1,739,744","1,516,825","1,556,927","1,738,394","1,796,252","1,856,975","2,358,521","1,974,592","1,974,592",
플랫폼수수료,"6,180,978","3,619,250","4,750,722","4,359,071","4,886,982","5,393,744","2,469,961","3,671,845","4,058,704","7,151,486","8,526,301","6,117,047",
TP수수료,"6,136,392","4,967,381","4,761,759","4,802,588","5,115,494","4,914,914","2,493,885","3,322,729","634,003","6,409,159","9,207,619","5,733,397",
직접광고비,"9,090,189","28,295","7,905,902","4,693,185","10,159,881","7,028,737","3,385,607","5,356,465","7,403,778","24,329,040","13,709,579","9,075,029",
