계정과목,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월, 11월 , 12월 
Tag매출_대리상_ACC,,," 15,515,152 ",,,,,,,," 10,446,050 "," 15,669,074 "
Tag매출_대리상_APP,,," 45,835,727 ",,,,,,,," 35,153,950 "," 52,730,926 "
Tag매출_직영_ACC,260331,604346," 576,476 "," 145,351 ",,,,,,,,
Tag매출_직영_APP,"2,369,837","7,110,359"," 4,528,475 "," 885,465 ",,,,,,,,
리테일매출_대리상,,,,,,,,,,,,
리테일매출_직영,,,,,,,,,,,,
,,,,,,,,,,,,
Tag매출,"2,630,168","7,714,705","66,455,830",1030816,,0,0,0,0,0," 45,600,000 "," 68,400,000 "
Tag매출_직영(ON),0,0,0,0,0,0,0,0,0,0, - , - 
Tag매출_직영(OFF),"2,630,168","7,714,705","5,104,951",1030816,0,0,0,0,0,0, - , - 
Tag매출_대리상(ON),0,0,0,0,0,0,0,0,0,0, - , - 
Tag매출_대리상(OFF),0,0,"61,350,879",0,0,0,0,0,0,0," 45,600,000 "," 68,400,000 "
실판매출,"241,846","690,138","3,983,175",91353.09,,0,0,0,0,0," 2,623,009 "," 3,934,513 "
실판매출_직영(ON),138,85,0,-2.47,0,0,0,0,0,0, - , - 
실판매출_직영(OFF),"241,708","690,053","454,120",91355.56,0,0,0,0,0,0, - , - 
실판매출_대리상(ON),0,0,0,0,0,0,0,0,0,0, - , - 
실판매출_대리상(OFF),0,0,"3,529,055",0,0,0,0,0,0,0," 2,623,009 "," 3,934,513 "
매출원가,"850,015","2,467,859","20,885,187",328638.64,,0,0,-103715.22,0,0," 14,950,902 "," 22,426,353 "
평가감,"-850,015","-2,470,529","-20,885,187",-254686.62,,-47708.64,0,0,0,0,"-14,950,902 ","-22,426,353 "
평가감(설정),0,"-2,670",0,"73,952",0,"-47,709",0,0,0,0, - , - 
평가감(환입),"-850,015","-2,467,859","-20,885,187",-328638.64,0,0,0,0,0,0,"-14,950,902 ","-22,426,353 "
급여(매장),0,0,0,0,,,,0,0,0, - , - 
복리후생비(매장),0,0,0,0,,,,0,0,0, - , - 
플랫폼수수료,0,0,0,0,,,,0,0,0, - , - 
TP수수료,0,0,0,0,,,,0,0,0, - , - 
직접광고비,0,0,0,0,,,,0,0,0, - , - 
대리상지원금,0,0,0,0,,,,0,0,0, - , - 
물류비,"145,181","99,082","227,939","124,486",,,,0,0,0, - , - 
매장임차료,0,4,0,0,,,,0,0,0, - , - 
감가상각비,0,0,0,0,,,,0,0,0, - , - 
기타(직접비),"-4,561",0,0,0,,,,0,0,0, - , - 
급여(사무실),0,0,0,0,,,,0,0,0, - , - 
복리후생비(사무실),0,0,0,0,,,,0,0,0, - , - 
광고비,0,0,0,0,,,,0,0,0, - , - 
수주회,0,0,0,0,,,,0,0,0, - , - 
지급수수료,0,0,0,0,,,,0,0,0, - , - 
임차료,0,0,0,0,,,,0,0,0, - , - 
감가상각비(영업비),0,0,0,0,,,,0,0,0, - , - 
세금과공과,0,0,0,0,,,,0,0,0, - , - 
기타(영업비),0,0,0,0,,,,0,0,0, - , - 
