계정과목, 1월 , 2월 , 3월 , 4월 , 5월 , 6월 , 7월 , 8월 , 9월 , 10월 , 11월 , 12월 
Tag매출_대리상_ACC,,," 15,515,152 ",,,,,," 6,746,257 "," 7,683,688 "," 4,047,754 "," 7,182,184 "
Tag매출_대리상_APP,,," 45,835,727 ",,,,,," 23,253,743 "," 26,316,312 "," 15,952,246 "," 22,817,816 "
Tag매출_직영_ACC," 260,331 "," 604,346 "," 576,476 "," 145,351 ",,,,,,,,
Tag매출_직영_APP," 2,369,837 "," 7,110,359 "," 4,528,475 "," 885,465 ",,,,,,,,
,,,,,,,,,,,,
Tag매출," 2,630,168 "," 7,714,705 "," 66,455,830 "," 1,030,816 ",, - , - , - ," 30,000,000 "," 34,000,000 "," 20,000,000 "," 30,000,000 "
Tag매출_직영(ON), - , - , - , - , - , - , - , - , - , - , - , - 
Tag매출_직영(OFF)," 2,630,168 "," 7,714,705 "," 5,104,951 "," 1,030,816 ", - , - , - , - , - , - , - , - 
Tag매출_대리상(ON), - , - , - , - , - , - , - , - , - , - , - , - 
Tag매출_대리상(OFF), - , - ," 61,350,879 ", - , - , - , - , - ," 30,000,000 "," 34,000,000 "," 20,000,000 "," 30,000,000 "
실판매출," 241,846 "," 690,138 "," 3,983,175 "," 91,353 ",, - , - , - ," 1,725,664 "," 1,955,752 "," 1,150,442 "," 1,725,664 "
실판매출_직영(ON), 138 , 85 , - ,-2 , - , - , - , - , - , - , - , - 
실판매출_직영(OFF)," 241,708 "," 690,053 "," 454,120 "," 91,356 ", - , - , - , - , - , - , - , - 
실판매출_대리상(ON), - , - , - , - , - , - , - , - , - , - , - , - 
실판매출_대리상(OFF), - , - ," 3,529,055 ", - , - , - , - , - ," 1,725,664 "," 1,955,752 "," 1,150,442 "," 1,725,664 "
매출원가," 850,015 "," 2,467,859 "," 20,885,187 "," 328,639 ",, - , - , - ," 9,688,369 "," 10,976,031 "," 6,627,160 "," 10,164,612 "
평가감,"-850,015 ","-2,470,529 ","-20,885,187 ","-254,687 ",,"-47,709 ", - , - ,"-9,688,369 ","-10,976,031 ","-6,627,160 ","-10,164,612 "
평가감(설정), - ,"-2,670 ", - ," 73,952 ", - ,"-47,709 ", - , - , - , - , - , - 
평가감(환입),"-850,015 ","-2,467,859 ","-20,885,187 ","-328,639 ", - , - , - , - ,"-9,688,369 ","-10,976,031 ","-6,627,160 ","-10,164,612 "
급여(매장), - , - , - , - ,,,,,,,,
복리후생비(매장), - , - , - , - ,,,,,,,,
플랫폼수수료, - , - , - , - ,,,,,,,,
TP수수료, - , - , - , - ,,,,,,,,
직접광고비, - , - , - , - ,,,,,,,,
대리상지원금, - , - , - , - ,,,,,,,,
물류비," 145,181 "," 99,082 "," 227,939 "," 124,486 ",,,,,,,,
매장임차료, - , 4 , - , - ,,,,,,,,
감가상각비, - , - , - , - ,,,,,,,,
기타(직접비),"-4,561 ", - , - , - ,,,,,,,,
급여(사무실), - , - , - , - ,,,,,,,,
복리후생비(사무실), - , - , - , - ,,,,,,,,
광고비, - , - , - , - ,,,,,,,,
수주회, - , - , - , - ,,,,,,,,
지급수수료, - , - , - , - ,,,,,,,,
임차료, - , - , - , - ,,,,,,,,
감가상각비(영업비), - , - , - , - ,,,,,,,,
세금과공과, - , - , - , - ,,,,,,,,
기타(영업비), - , - , - , - ,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
, - , - , - , - ,,,,,,,,
