대분류,중분류,소분류,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
영업활동,매출수금,MLB,495841665.1,430358485.1,585933804.6,447057665.4,323904674.6,248429780.2,295905694.6,465318737.1,271461914.5,526110775.9,529120843.1,393922462
영업활동,매출수금,MLB_직영(ON),63952803,30945020.41,52143717.52,45520705.59,50727483.84,50680795.64,26733210.31,35559008.28,45333578.94,65833837.14,137257329.5,53545768.46
영업활동,매출수금,MLB_직영(OFF),45974044.38,50101327.55,29886647.58,31140036.82,30855377.78,33127010.7,27825137.56,24726198.95,22199408.69,29500086.41,30819838.49,38744447.6
영업활동,매출수금,MLB_대리상(OFF),337347888,293175719.7,419970355.3,314559172.6,189944024.4,118598518.9,212479495.6,346836531.7,173083376.6,367307710.1,305284473.2,255301794.3
영업활동,매출수금,MLB_대리상(ON),48566929.71,56136417.43,83933084.2,55837750.32,52377788.63,46023454.99,28867851.19,58196998.21,30845550.25,63469142.33,55759201.95,46330451.62
영업활동,매출수금,MLB KIDS,15909434.05,20537910.18,19452060.27,18105750.59,13416512.42,5070743.71,2188241.4,4731956.32,5194795.46,24291326.02,21796265.73,9704543.38
영업활동,매출수금,MLB KIDS_직영(ON),4359568.8,1728685.13,3557266.25,3571238.05,3276517.07,3100226.77,1121524.04,2318429.52,3321833.21,4461510.37,7092675.66,2871343.94
영업활동,매출수금,MLB KIDS_직영(OFF),3910702.49,2831719.07,3398125.79,2579188.48,2458234.25,760076.52,1066717.36,2413526.8,1539387.25,3921334.64,4311602.9,2802872.62
영업활동,매출수금,MLB KIDS_대리상(OFF),7382591,15000529.15,10035731.27,11587230.68,5554583.46,405168.88,0,0,333575,14138464.27,8190579.29,2280662.68
영업활동,매출수금,MLB KIDS_대리상(ON),256571.76,976976.83,2460936.96,368093.38,2127177.64,805271.54,0,0,0,1770016.74,2201407.88,1749664.14
영업활동,매출수금,DISCOVERY,1734290.63,1080238.95,2995168.74,3003033.75,1148116.21,2281672.28,617629.47,1513806.28,2998449.46,8630513.51,9521208.56,5203242.93
영업활동,매출수금,DISCOVERY_직영(ON),576388.63,821974.95,730478.42,378500.08,690558.93,855698.08,340895.29,778743.8,2441592.4,2721843.6,2839784.58,1785278.14
영업활동,매출수금,DISCOVERY_직영(OFF),1157902,258264,427140.67,691036.77,452029.19,140147.7,276734.18,735062.48,556857.06,973853.16,505538.84,663088.32
영업활동,매출수금,DISCOVERY_대리상(OFF),0,0,1837549.65,1933496.9,5528.09,1285826.5,0,0,0,4934816.75,6175885.14,2754876.47
영업활동,매출수금,DISCOVERY_대리상(ON),0,0,0,0,0,0,0,0,0,0,0,0
영업활동,매출수금,DUVETICA,2559186.88,1161512.79,1474357.81,749343.44,486324.96,402903.1,107209.61,232400.18,118119.24,466951.69,688993.96,785381.44
영업활동,매출수금,DUVETICA_직영(ON),1155858.99,260997.8,375002.59,121865.75,184151.17,260577.88,59759.91,71928.4,85653.04,324370.19,655612.66,754331.13
