대분류,중분류,소분류, 1월 , 2월 , 3월 , 4월 , 5월 , 6월 , 7월 , 8월 , 9월 , 10월 , 11월 , 12월 , 2026년계획(N-1) ,N-1기준 연말업뎃 완료
영업활동,매출수금,MLB,"535,601,330","454,270,990","486,762,314","579,501,574","554,888,922","368,786,297","173,678,369","355,240,822","250,719,113","511,958,433","540,044,671","522,549,691","5,334,005,627",7월기준 업뎃 완료 (8.10 버전으로 n-1과 계획 업뎃)
영업활동,매출수금,MLB KIDS,"16,427,144","10,019,307","19,894,104","16,782,940","15,445,884","9,411,823","6,707,911","12,678,038","29,235,610","23,346,597","17,400,621","12,632,335","190,185,216",
영업활동,매출수금,DISCOVERY,"5,696,652","2,063,798","2,256,388","2,026,181","1,264,050","1,572,280","749,999","2,141,125","11,195,755","11,948,259","18,062,130","17,800,407","79,330,532",
영업활동,매출수금,DUVETICA,"596,629","516,599","285,727","163,961", - , - ,0,0,0,0,0,0,"1,562,916",
영업활동,매출수금,SUPRA,"19,257","20,228","4,791,620","5,323","103,232", - ,0,0,"1,950,000","2,207,535","1,300,000","1,950,000","12,347,194",
영업활동,물품대,본사,"-309,408,188","-439,278,432","-203,991,632","-100,211,847","-35,056,095","-33,764,770","-85,783,443","-120,433,299","-228,237,769","-131,058,284","-212,760,483","-471,103,831","-2,330,669,257",
영업활동,물품대,현지,"-16,747,253","-23,117,027","-58,196,529","-23,429,616","-14,724,876","-8,833,920","-9,609,755","-41,746,800","-40,885,351","-19,845,593","-16,054,501","-16,621,356","-283,804,040",
영업활동,본사선급금,, - , - , - , - ,"-350,000,000", - ,0,0,0,0,"-350,000,000",0,"-700,000,000",
영업활동,비용,광고비,"-35,656,879","-30,576,729","-28,854,037","-29,010,374","-8,751,279","-14,359,341","-25,675,339","-30,956,257","-10,426,644","-23,818,198","-13,525,564","-13,887,235","-257,797,876",
영업활동,비용,온라인 플랫폼비용,"-46,968,182","-12,807,503","-18,573,420","-32,478,140","-23,700,095","-24,143,203","-13,716,544","-14,742,316","-14,233,499","-33,651,092","-26,752,715","-25,457,561","-288,108,174",
영업활동,비용,오프라인 매장비용,"-29,972,892","-18,225,825","-25,021,644","-19,307,354","-18,386,750","-19,631,391","-15,362,999","-21,128,170","-20,541,204","-21,863,347","-24,918,917","-22,823,556","-258,294,395",
영업활동,비용,수입증치세,"-60,898,383","-58,081,733","-31,652,725","-17,249,952","-7,928,648","-3,418,314","-11,410,799","-31,040,181","-42,916,929","-14,387,216","-23,973,909","-54,000,623","-351,638,293",
영업활동,비용,인건비,"-10,276,885","-14,821,047","-26,293,397","-9,173,632","-9,558,929","-10,287,370","-8,882,155","-8,489,689","-9,849,198","-9,796,509","-9,902,169","-10,285,597","-139,369,645",
영업활동,비용,보증금지급, - , - , - , - , - ,"-282,660",0,0,0,"-1,750,000",0,0,"-2,032,660",
영업활동,비용,사무실임차료,"-2,013,266","-2,023,531","-2,008,388","-2,010,496","-2,017,424","-2,008,958","-2,019,242","-2,025,190","-2,008,087","-2,008,087","-2,008,087","-2,008,087","-24,141,686",
영업활동,비용,지급수수료,"-1,090,528","-1,125,994","-722,299","-1,145,504","-2,152,219","-6,013,353","-1,208,844","-2,529,913","-1,057,404","-389,298","-620,484","-970,894","-18,961,350",
영업활동,비용,이자비용,"-1,802,800","-1,472,661","-1,526,628","-2,517,306","-733,194","-1,526,494","-224,178","-266,933","-329,333",0,"-121,333","-286,578","-12,377,283",
영업활동,비용,Withholding/VAT,"-1,450,195","-166,727","-755,641","-19,671,862","-611,511","-17,717,557","-13,770,610","-21,033,616","-22,886,129","-18,508,346","-51,127,224","-11,907,707","-135,880,885",
영업활동,비용,법인세,"-4,857,360", - , - ,"-10,421,311","-7,667,240", - ,"-7,806,880",0,0,"-6,811,707",0,0,"-37,038,707",
영업활동,비용,기타비용,"-175,724","-392,235","-359,206","-425,052","-205,736","-220,088","-175,599","-250,000","-512,682","-306,567","-231,581","-366,444","-3,682,870",
자산성지출,인테리어/VMD,,"-2,455,464","-6,646,456","-4,174,405","-372,718","-2,586,460","-1,730,340","-1,407,583","-237,273","-2,253,940","-1,366,347","-2,793,192","-522,938","-26,705,298",
자산성지출,비품취득,,"-273,990","-533,113","-3,831,348","-85,770","-219,248","-257,752","-199,818","-1,210,382","-598,212","-123,941","-324,071","-117,072","-7,774,209",
차입금,,,"12,400,000","53,600,000","-45,685,078","-370,000,000","-160,000,000","-260,000,000",0,"-40,000,000","90,000,000","-190,000,000","70,000,000","80,000,000","-859,685,078",
기타수익,,,"129,875","54,889","134,158","198,711","20,033,542","65,672,328","10,694","25,278","349,453","25,278","25,278","348,918","87,232,998",
