,,대리상 명칭,  외상매출금  ,    선수금    ,,,11070107,21050103,,,,
8000015,上海凌博商贸有限公司,"Shanghai Lingbo Trading Co., Ltd.","21,402,238"," 48,804,371 ",,,AR,advance,,,,
8000003,常春藤(广州)投资有限公司,"Ivy (Guangzhou) Investment Co., Ltd.","24,534,820"," 14,496,383 ",,,,,,,,
8000030,哈尔滨麟嘉商贸有限公司,"Harbin Linjia Trading Co., Ltd.","22,628,296"," 20,192,021 ",,,,,,,,
8000007,杭州宇振商业有限公司,"Hangzhou Yuzhen Commercial Co., Ltd.","25,779,674"," 29,630,102 ",,,,,,,,
8000183,北京鑫聚盛业服装服饰有限公司,"Beijing Xinjushengye Apparel Co., Ltd.","20,782,053"," 16,706,967 ",,,,,,,,
8000028,河南金安芯商贸有限公司,"Henan Jin’anxin Trading Co., Ltd.","18,572,519"," 11,106,543 ",,,,,,,,
8000009,成都市宝康服饰商贸有限公司,"Chengdu Baokang Apparel Trading Co., Ltd.","14,722,514"," 15,974,301 ",,,,,,,,
8000027,沈阳固孚固贸易有限公司,"Shenyang Gufugu Trading Co., Ltd.","6,389,350"," 12,793,995 ",,,,,,,,
8000413,山东德峻丰品牌管理有限公司,"Shandong Dejunfeng Brand Management Co., Ltd.","5,866,122"," 17,846,656 ",,,,,,,,
8000023,山西凌皓国际贸易有限公司,"Shanxi Linghao International Trading Co., Ltd.","2,818,558"," 10,102,230 ",,,,,,,,
8000017,沈阳瑞元禾商贸有限公司,"Shenyang Ruiyuanhe Trading Co., Ltd.","3,669,151"," 6,432,771 ",,,,,,,,
8000011,江西朝明潮贸易有限公司,"Jiangxi Chaoming Trend Trading Co., Ltd.","6,868,140"," 5,746,133 ",,,,,,,,
8000001,深圳市普洛狮贸易有限公司,"Shenzhen Puluoshi Trading Co., Ltd.","7,912,979"," 8,352,044 ",,,,,,,,
8000060,江苏骏溪网络科技有限公司,"Jiangsu Junxi Network Technology Co., Ltd.","14,905,613"," 17,627,810 ",,,,,,,,
8000180,内蒙古旭雅商贸有限公司,"Inner Mongolia Xuya Trading Co., Ltd.",0, - ,,,,,,,,
8000181,长沙市珀御商贸有限公司,"Changsha Poyu Trading Co., Ltd.","5,639,031"," 11,388,003 ",,,,,,,,
8000018,华初壹通国际贸易有限公司,"Huachu Yitong International Trading Co., Ltd.","4,148,826"," 11,157,831 ",,,,,,,,
8000034,北京晶睿贸易发展有限公司,"Beijing Jingrui Trading Development Co., Ltd.","11,902,028"," 15,306,842 ",,,,,,,,
8000002,深圳有盈贸易有限公司,"Shenzhen Youying Trading Co., Ltd.","3,932,679"," 5,256,140 ",,,,,,,,
8000021,新疆莘三石商贸有限公司,"Xinjiang Xin Sanshi Trading Co., Ltd.","1,458,739"," 3,338,962 ",,,,,,,,
8000006,重庆渲格商贸有限公司,"Chongqing Xuan’ge Trading Co., Ltd.","4,862,011"," 7,599,792 ",,,,,,,,
8000121,星羽宏文（沈阳）商贸有限公司,"Xingyuhongwen (Shenyang) Trading Co., Ltd.","1,730,597"," 2,730,333 ",,,,,,,,
8000029,西安纳霁动力商贸有限公司,"Xi’an Najidongli Trading Co., Ltd.","3,795,810"," 8,072,070 ",,,,,,,,
8000270,南宁市菲诺电子科技有限公司,"Nanning Feinuo Electronic Technology Co., Ltd.","2,614,968"," 5,300,982 ",,,,,,,,
8000010,成都莱恒商贸有限公司,"Chengdu Laiheng Trading Co., Ltd.","862,338"," 1,944,027 ",,,,,,,,
8000026,武汉摩顶贸易有限公司,"Wuhan Moding Trading Co., Ltd.","19,990,920"," 14,498,146 ",,,,,,,,
8000005,厦门时韫商贸有限公司,"Xiamen Shiyun Trading Co., Ltd.","2,661,195"," 7,197,908 ",,,,,,,,
8000310,北京绮妙科技有限公司,"Beijing Qimiao Technology Co., Ltd.","2,932,030"," 2,950,425 ",,,,,,,,
8000004,厦门百轮服饰有限公司,"Xiamen Bailun Apparel Co., Ltd.","1,937,423"," 4,993,762 ",,,,,,,,
8000019,北京嘉尚国际时装有限公司,"Beijing Jiashang International Fashion Co., Ltd.","3,332,261"," 11,238,062 ",,,,,,,,
8000033,北京潮流贸易有限公司,"Beijing Trend Trading Co., Ltd.","1,838,847"," 1,840,404 ",,,,,,,,
8000385,云南恒磐商贸有限公司,"Yunnan Hengpan Trading Co., Ltd.","4,150,738"," 7,979,252 ",,,,,,,,
8000232,孚瑞达（沈阳）贸易有限公司,"Furida (Shenyang) Trading Co., Ltd.","-171,321", - ,,,,,,,,
8000276,山西颖璇贸易有限公司,"Shanxi Yingxuan Trading Co., Ltd.","-105,582", - ,,,,,,,,
8000237,丰晟（广州）品牌管理有限公司,"Fengsheng (Guangzhou) Brand Management Co., Ltd.","41,152", - ,,,,,,,,
8000421,乌鲁木齐雏鹰浩涵商贸有限公司,"Urumqi Chuying Haohan Trading Co., Ltd.","15,503"," 133,575 ",,,,,,,,
8000233,武汉顶尚贸易有限公司,"Wuhan Dingshang Trading Co., Ltd.","-227,711", - ,,,,,,,,
