,,대리상 명칭,  외상매출금  ,    선수금    ,,,11070107,21050103
8000015,上海凌博商贸有限公司,"Shanghai Lingbo Trading Co., Ltd.",,,,,AR,advance
8000003,常春藤(广州)投资有限公司,"Ivy (Guangzhou) Investment Co., Ltd.",,,,,,
8000030,哈尔滨麟嘉商贸有限公司,"Harbin Linjia Trading Co., Ltd.",,,,,,
8000007,杭州宇振商业有限公司,"Hangzhou Yuzhen Commercial Co., Ltd.",,,,,,
8000183,北京鑫聚盛业服装服饰有限公司,"Beijing Xinjushengye Apparel Co., Ltd.",,,,,,
8000028,河南金安芯商贸有限公司,"Henan Jin’anxin Trading Co., Ltd.",,,,,,
8000009,成都市宝康服饰商贸有限公司,"Chengdu Baokang Apparel Trading Co., Ltd.",,,,,,
8000027,沈阳固孚固贸易有限公司,"Shenyang Gufugu Trading Co., Ltd.",,,,,,
8000413,山东德峻丰品牌管理有限公司,"Shandong Dejunfeng Brand Management Co., Ltd.",,,,,,
8000023,山西凌皓国际贸易有限公司,"Shanxi Linghao International Trading Co., Ltd.",,,,,,
8000017,沈阳瑞元禾商贸有限公司,"Shenyang Ruiyuanhe Trading Co., Ltd.",,,,,,
8000011,江西朝明潮贸易有限公司,"Jiangxi Chaoming Trend Trading Co., Ltd.",,,,,,
8000001,深圳市普洛狮贸易有限公司,"Shenzhen Puluoshi Trading Co., Ltd.",,,,,,
8000060,江苏骏溪网络科技有限公司,"Jiangsu Junxi Network Technology Co., Ltd.",,,,,,
8000181,长沙市珀御商贸有限公司,"Changsha Poyu Trading Co., Ltd.",,,,,,
8000018,华初壹通国际贸易有限公司,"Huachu Yitong International Trading Co., Ltd.",,,,,,
8000034,北京晶睿贸易发展有限公司,"Beijing Jingrui Trading Development Co., Ltd.",,,,,,
8000002,深圳有盈贸易有限公司,"Shenzhen Youying Trading Co., Ltd.",,,,,,
8000021,新疆莘三石商贸有限公司,"Xinjiang Xin Sanshi Trading Co., Ltd.",,,,,,
8000006,重庆渲格商贸有限公司,"Chongqing Xuan’ge Trading Co., Ltd.",,,,,,
8000121,星羽宏文（沈阳）商贸有限公司,"Xingyuhongwen (Shenyang) Trading Co., Ltd.",,,,,,
8000029,西安纳霁动力商贸有限公司,"Xi’an Najidongli Trading Co., Ltd.",,,,,,
8000270,南宁市菲诺电子科技有限公司,"Nanning Feinuo Electronic Technology Co., Ltd.",,,,,,
8000010,成都莱恒商贸有限公司,"Chengdu Laiheng Trading Co., Ltd.",,,,,,
8000026,武汉摩顶贸易有限公司,"Wuhan Moding Trading Co., Ltd.",,,,,,
8000005,厦门时韫商贸有限公司,"Xiamen Shiyun Trading Co., Ltd.",,,,,,
8000310,北京绮妙科技有限公司,"Beijing Qimiao Technology Co., Ltd.",,,,,,
8000004,厦门百轮服饰有限公司,"Xiamen Bailun Apparel Co., Ltd.",,,,,,
8000019,北京嘉尚国际时装有限公司,"Beijing Jiashang International Fashion Co., Ltd.",,,,,,
8000033,北京潮流贸易有限公司,"Beijing Trend Trading Co., Ltd.",,,,,,
8000385,云南恒磐商贸有限公司,"Yunnan Hengpan Trading Co., Ltd.",,,,,,
8000232,孚瑞达（沈阳）贸易有限公司,"Furida (Shenyang) Trading Co., Ltd.",,,,,,
8000276,山西颖璇贸易有限公司,"Shanxi Yingxuan Trading Co., Ltd.",,,,,,
8000237,丰晟（广州）品牌管理有限公司,"Fengsheng (Guangzhou) Brand Management Co., Ltd.",,,,,,
8000421,乌鲁木齐雏鹰浩涵商贸有限公司,"Urumqi Chuying Haohan Trading Co., Ltd.",,,,,,
8000233,武汉顶尚贸易有限公司,"Wuhan Dingshang Trading Co., Ltd.",,,,,,
8000059,杭州优溜网络技术有限公司,"Hangzhou Youliu Network Technology Co., Ltd.",,,,,,
8000155,北京蓝梦宇其贸易有限公司,"Beijing Lanmeng Yuqi Trading Co., Ltd.",,,,,,
8000277,长春恩禾品牌管理有限公司,"Changchun Enhe Brand Management Co., Ltd.",,,,,,
8000280,江苏幸运叶子数字科技有限公司,"Jiangsu Lucky Leaf Digital Technology Co., Ltd.",,,,,,
8000014,依梵(上海)品牌管理有限公司,"Yifan (Shanghai) Brand Management Co., Ltd.",,,,,,
8000187,江苏苏豪国际集团股份有限公司,"Jiangsu Soho International Group Co., Ltd.",,,,,,
8000443,上海羽织棠贸易服务有限公司,"Shanghai Yuzhitang Trading Service Co., Ltd.",,"16,194",,,,
8000057,山东青岛代购,Shandong Qingdao Purchasing Agent,,100,,,,
8000452,内蒙古羲骋商贸有限责任公司,"
Inner Mongolia Xicheng Trade Co., Ltd.","6,308,504","6,665,005",,,,
8100845,瑞辰加盈（天津）商贸有限公司,"
Ruichen Jiaying (Tianjin) Trading Co., Ltd.",,"59,134",,,,
