조정사항,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
사용권자산,,,-1929897,,,-735144,,,-1596704.936,0,0,0
재무비용,,,-2857739.244,,,315317.41,,,0,0,0,0
이연수익,,,104779.31,,,-176510.02,,,0,0,0,0
반품충당부채,,,1250657.78,,,-3528225.5,,,2710926.54,-3316924.2,-1874453.06,6281246.01
매출원가조정(credit),,,-4569248.95,,,-1771571.47,,,-4269067.42,362880.75,-288931.95,-12747755.67
기타,,,,,,150579.8973,,,47557.46303,0,0,-150806.7641
리베이트,,,,,,0,,,-20301720.9,0,0,0
정부보조금,,,,,,-32500000,,,2339027.55,42653.07,-1191.1,0
,,,,,,,,,,,,
매출조정(재무식),-11631092.64,-11277912.76,-2669291.638,45407602.26,5867225.13,-15020503.59,-6572276.85,18278857.72,-8700624.02,2200071.517,-8752971.147,-25421628.21
매출조정(재무식),,,7048133.4,,,8272881.569,,,2902621.851,,,9612919
