조정사항,브랜드,항목,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,,,,,,,,,,,,,,
조정전,,,"521,729,943","368,503,570","425,342,036","311,659,142","261,667,818","268,301,290","352,997,340","562,862,757","542,526,451","509,991,431","313,572,073","404,000,111",,,,,,,,,,,,,,
매출,MLB,"온,오프라인 수수료조정","-9,287,777","-4,046,660","-5,253,860","-5,533,466","-5,805,246","-4,287,600","-3,888,104","-4,449,796","-5,598,895","-7,727,760","-6,363,853","-6,850,003",,,,,,,,,,,,,,
매출,MLB,대리상지원금(인식시 매출차감),"-11,581,417","-7,810,533","13,748,953","40,343,868","11,402,752","-6,499,818","-7,234,759","22,978,423","5,872,301","2,601,454","-3,684,256","-7,679,866",,,,,,,,,,,,,,
매출,MLB,반품충당금,"9,238,101","579,280","-11,059,605","10,597,201","269,719","-4,409,596","4,550,586","-249,770","-8,974,030","4,895,616","3,725,899","-10,891,759",,,,PKG,1Q,,PKG,2Q,,PKG,3Q,,PKG,4Q
매출,MLB KIDS,반품충당금,,,,,,,,,,,,,,,,매출,"1,297,045,386",,매출,"886,175,768",,매출,"1,464,295,126",,매출,"1,208,050,263"
매출,MLB,이연수익,,,,,,,,,,,,,,,,매출원가,"1,005,906,014",,매출원가,"676,885,169",,매출원가,"1,078,672,489",,매출원가,"886,931,231"
매출,MLB,기타,,,"-104,779",,,"196,823",,,,,,,,,,평가감,"16,407,742",,평가감,"25,024,653",,평가감,"-2,640,231",,평가감,"10,176,421"
매출,MLB,관리조정(월변경),,,,,,,,,,"2,430,761","-2,430,761",,,,,판관비,"244,076,571",,판관비,"185,571,422",,판관비,"234,390,798",,판관비,"290,860,990"
매출,MLB,(IFRS)수수료조정,,,"7,048,133",,,"8,272,882",,,"2,902,622",,,"9,612,919",,,,영업이익,"30,655,059",,영업이익,"-1,305,476",,영업이익,"153,872,070",,영업이익,"20,081,621"
매출,MLB,(IFRS)반품조정,,,,,,,,,,,,"2,848,256",,,,,,,,,,,,,,
매출,DISCOVERY,본사반품,,,,,,,,,,,,,,,,,,,,,,,,,,
조정후,,,"510,098,851","357,225,658","429,720,877","357,066,744","267,535,043","261,573,981","346,425,063","581,141,614","536,728,449","512,191,502","304,819,102","391,039,658",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
조정전,,,"374,451,011","286,288,872","323,338,161","245,635,690","173,858,588","192,709,739","245,878,434","421,036,761","408,852,415","370,992,007","217,055,639","277,721,159",,,,,,,,,,,,,,
