브랜드,조정사항,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
MLB,사용권자산,,,-1198988.058,,,"-1,064,544",,,,,,
MLB,재무비용,,,,,,,,,,,,
MLB,이연수익,,,33493.6,,,-11376.65,,,,,,
MLB,반품충당부채,,,3790851.78,,,-6179596.08,,,,,,
DISCOVERY,반품충당부채,,,,,,,,,,,,
MLB,매출원가조정(credit),,,"1,006,708",,,"5,113,979",,,,,,
MLB,기타,,,-2971329.837,,," 589,112 ",,,,,,
MLB,리베이트,,,,,,,,,,,,
MLB,정부보조금,,,,,,-19005266.36,,,,,,
,,,,,,,,,,,,,
MLB,매출조정(재무식),"-17,020,779","-16,789,647","-14,157,496","71,009,719","-7,193,771","-13,696,478",,,,,,
MLB,매출조정(재무식),," 3,899,661.36 ","9,200,367",,,"6,236,558",,,,,,
,,,,,,,,,,,,,
DISCOVERY,Discovery 반품,,,,24675161,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
