조정사항,브랜드,항목,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
조정전,,," 648,125,437 "," 401,843,624 "," 417,171,383 "," 396,751,987 "," 246,881,488 "," 156,750,446 "," 273,552,558 "," 443,047,527 ",,,,
매출,MLB,"온,오프라인 수수료조정","-8,508,844 ","-7,885,364 ","-4,581,732 ","-5,824,208 ","-6,166,593 ","-4,775,365 ","-3,797,322 ","-5,174,775 ",,,,
매출,MLB,대리상지원금(인식시 매출차감),"-18,661,238 ","-9,877,495 "," 10,013,431 "," 3,510,924 ","-868,034 ","-1,603,069 ","-6,192,006 ","-12,230,877 ",,,,
매출,MLB,반품충당금," 10,149,303 "," 973,212 ","-19,567,027 "," 7,687,165 ","-178,479 ","-7,411,187 "," 8,065,941 ","-171,839 ",,,,
매출,MLB KIDS,반품충당금,,," 3,899,661 ",,,,,,,,,
매출,MLB,이연수익,,,"-33,494 ",,," 11,377 ",,,,,,
매출,MLB,기타,,," 11,325 "," 8,304 "," 19,335 "," 81,766 "," 35,144 ",,,,,
매출,MLB,(IFRS)수수료조정,,," 9,200,367 ",,," 6,236,558 ",,,,,,
매출,DISCOVERY,Discovery 반품(관리차이),,,," 7,662,244 ",,,,,,,,
매출,DISCOVERY,Discovery 반품,,,," 57,965,291 ",,,,,,,,
조정후,,," 631,104,659 "," 385,053,978 "," 416,113,915 "," 467,761,706 "," 239,687,717 "," 149,290,527 "," 271,664,315 "," 425,470,037 ",,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
조정전,,," 458,765,420 "," 289,010,767 "," 315,910,841 "," 287,270,571 "," 150,566,732 "," 97,630,242 "," 195,012,159 "," 317,633,585 ",,,,
매출원가,MLB,대리상지원금(출고)," 1,902,016 "," 1,721,726 "," 22,707,145 "," 15,081,212 "," 4,228,187 "," 1,790,242 "," 2,283,476 "," 907,293 ",,,,
매출원가,MLB,반품충당금," 4,046,429 "," 737,191 ","-9,437,281 "," 5,474,684 "," 75,764 ","-3,970,302 "," 4,283,163 ","-145,338 ",,,,
매출원가,MLB KIDS,반품충당금,,," 3,647,229 ",,,,,,,,,
매출원가,MLB,크레딧노트등,"-21,582 ","-294,669 "," 1,322,960 "," 33,132,417 ","-3,211,031 ","-6,107,273 "," 149,294 "," 31,431 ",,,,
매출원가,MLB,기타,,,"-3,216 "," 11,833 "," 4,051 ","-26,795 "," 6,655 "," 109,153 ",,,,
매출원가,DISCOVERY,Discovery 반품,,,," 82,640,452 ",,,,,,,,
조정후,,," 464,692,283 "," 291,175,014 "," 334,147,678 "," 423,611,169 "," 151,663,702 "," 89,316,114 "," 201,734,748 "," 318,536,125 ",,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
조정전,,," 121,659,050 "," 97,222,828 "," 92,807,454 "," 95,837,687 "," 92,086,563 "," 79,389,084 "," 84,382,845 "," 94,003,301 ",,,,
판관비,MLB,(IFRS)사용권자산,,,"-1,198,988 ",,,"-1,064,544 ",,,,,,
판관비,MLB,(IFRS)수수료조정,,," 9,200,367 ",,," 6,236,558 ",,,,,,
판관비,MLB,(IFRS)정부보조금,,,,,,"-19,193,299 ",,,,,,
판관비,MLB,"온,오프라인 수수료조정","-8,508,844 ","-7,885,364 ","-4,581,732 ","-5,824,208 ","-6,166,593 ","-4,775,365 ","-3,797,322 ","-5,174,775 ",,,,
판관비,MLB,대리상지원금(인식시 매출차감),"-18,661,238 ","-9,877,495 "," 10,013,431 "," 3,510,924 ","-868,034 ","-1,603,069 ","-6,192,006 ","-12,230,877 ",,,,
판관비,MLB,대리상지원금(출고),"-1,902,016 ","-1,721,726 ","-22,707,145 ","-15,081,212 ","-4,228,187 ","-896,116 ","-2,283,476 ","-907,293 ",,,,
판관비,MLB,대손상각비,,,"-2,688,137 ",,,,,,,,,
판관비,MLB,기타,"-4,165 ","-12,030 ",-257 ,"-38,166 ","-5,450 "," 46,442 ","-5,081 "," 527,197 ",,,,
조정후,,," 92,582,788 "," 77,726,214 "," 80,844,993 "," 78,405,024 "," 80,818,299 "," 58,139,690 "," 72,104,960 "," 76,217,555 ",,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
조정전,,,,,,,,,,,,,,
평가감(환입),MLB,폐기환입,,,,,,-12125121,,,,,,
평가감(환입),MLB KIDS,폐기환입,,,,,,-4312852,,,,,,
평가감(환입),DISCOVERY,폐기환입,,,,,,-459340,,,,,,
평가감(환입),DUVETICA,폐기환입,,,,,,-1114492,,,,,,
평가감(환입),SUPRA,폐기환입,,,,,,-688329,,,,,,
조정후,,,,,,,,,,,,,,
