계정,브랜드,연도,1분기,2분기,3분기,4분기,,,,1분기,2분기,3분기,4분기
매출,MLB,2025,"1,231,525,562","846,665,220","1,385,146,985","1,140,877,983",,환율,2025,199.33,196.61,195.52,197.78
매출,MLB KIDS,2025,"52,840,666","32,731,514","56,459,431","47,971,644",,환율,2026,211.61,216.23,,
매출,DISCOVERY,2025,"6,513,315","7,087,204","22,195,832","15,051,976",,,,,,,
매출,DUVETICA,2025,"4,612,010","343,750","590,137","3,203,145",,,,,,,
매출,SUPRA,2025,"1,553,832","-651,918","-97,259","945,516",,,,,,,
매출원가,법인,2025,"1,005,906,014","676,885,169","1,078,672,490","886,931,231",,,,,,,
평가감,법인,2025,"16,407,742","25,024,653","-2,640,231","10,176,421",,,,,,,
판관비,법인,2025,"244,076,571","185,571,422","234,390,798","290,860,990",,,,,,,
매출,MLB,2026,"1,357,407,895","766,905,729",,,,,,,,,
매출,MLB KIDS,2026,"55,596,242","31,711,081",,,,,,,,,
매출,DISCOVERY,2026,"7,169,915","56,564,226",,,,,,,,,
매출,DUVETICA,2026,"7,183,228","1,467,560",,,,,,,,,
매출,SUPRA,2026,"4,915,381","91,353",,,,,,,,,
매출원가,법인,2026,"1,090,014,975","664,590,985",,,,,,,,,
평가감,법인,2026,"40,545,225","-60,543,714",,,,,,,,,
판관비,법인,2026,251153995.1,217363013.3,,,,,,,,,
,,,"50,558,466","35,329,664",,,,,,,,,
